city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
3193.0,569,Budapest,Hungary,HUN,0.202610985498554,0.095817241202111,"[0.2, 0.22)","POLYGON ((19.08608702357937 47.50165462041596, 19.08608702357937 47.51065175741896, 19.09932111406076 47.51065175741896, 19.09932111406076 47.50165462041596, 19.08608702357937 47.50165462041596))"
3196.0,62,Sarajevo,Bosnia and Herzegovina,BIH,0.160562144726999,0.1495644437083231,"[0.16, 0.18)","POLYGON ((18.408508477718794 43.855792122189946, 18.408508477718794 43.86478925917523, 18.420907069478776 43.86478925917523, 18.420907069478776 43.855792122189946, 18.408508477718794 43.855792122189946))"
3209.0,248,Kinshasa,Democratic Republic of the Congo,COD,0.048594059217342,0.1419296588008309,"[0.04, 0.06)","POLYGON ((15.273550581545551 -4.339212122378076, 15.273550581545551 -4.330214985533544, 15.282516012292927 -4.330214985533544, 15.282516012292927 -4.339212122378076, 15.273550581545551 -4.339212122378076))"
3216.0,150,Warsaw,Poland,POL,0.197934207753461,0.1174654651544841,"[0.18, 0.2)","POLYGON ((21.034577907100918 52.19561215171474, 21.034577907100918 52.204609288744564, 21.049163796304367 52.204609288744564, 21.049163796304367 52.19561215171474, 21.034577907100918 52.19561215171474))"
3244.0,141,Helsinki,Finland,FIN,0.107861412677952,0.0717500857359113,"[0.1, 0.12)","POLYGON ((24.952238712991985 60.1826335851779, 24.952238712991985 60.19163072226962, 24.970220064613805 60.19163072226962, 24.970220064613805 60.1826335851779, 24.952238712991985 60.1826335851779))"
3255.0,164,Tallinn,Estonia,EST,0.09324046906748,0.1080269628660813,"[0.08, 0.1)","POLYGON ((24.809405688797014 59.42965849049039, 24.809405688797014 59.43865562757506, 24.82698537922144 59.43865562757506, 24.82698537922144 59.42965849049039, 24.809405688797014 59.42965849049039))"
3269.0,111,Riga,Latvia,LVA,0.218174709854105,0.084140798158221,"[0.2, 0.22)","POLYGON ((24.173409931637483 56.949796644905156, 24.173409931637483 56.958793781968645, 24.189803917882948 56.958793781968645, 24.189803917882948 56.949796644905156, 24.173409931637483 56.949796644905156))"
3270.0,281,Belgrade,Serbia,SRB,0.202870764794253,0.1010570683138281,"[0.2, 0.22)","POLYGON ((20.402169589123776 44.81899685413493, 20.402169589123776 44.827993991124664, 20.414773572350548 44.827993991124664, 20.414773572350548 44.81899685413493, 20.402169589123776 44.81899685413493))"
3274.0,11,Tirana,Albania,ALB,0.010779246935755,0.3814307629544758,"[0.0, 0.02)","POLYGON ((19.796252586495918 41.31222614024746, 19.796252586495918 41.32122327722161, 19.80815528381576 41.32122327722161, 19.80815528381576 41.31222614024746, 19.796252586495918 41.31222614024746))"
3332.0,130,Skopje,Macedonia,MKD,0.082107436250354,0.1794744415084287,"[0.08, 0.1)","POLYGON ((21.417556325104094 41.9876938321263, 21.417556325104094 41.99669096910332, 21.429584504425502 41.99669096910332, 21.429584504425502 41.9876938321263, 21.417556325104094 41.9876938321263))"
3339.0,6,Vilnius,Lithuania,LTU,0.088163969380278,0.0973520636803161,"[0.08, 0.1)","POLYGON ((25.27521206654934 54.6762233735422, 25.27521206654934 54.68522051058861, 25.290675261666216 54.68522051058861, 25.290675261666216 54.6762233735422, 25.27521206654934 54.6762233735422))"
